title,user_score,critic_score
Pinball FX 2: Marvel Pinball - Vengeance and Virtue,tbd,84
Saints Row: The Third,76,84
Skate 2,79,84
Borderlands,82,84
Madden NFL 11,57,84
FIFA 14,42,84
Ultra Street Fighter IV,69,84
The Walking Dead: Season Two Episode 5 - No Going Back,88,84
Might & Magic: Clash of Heroes,82,84
Child of Eden,76,84
Resident Evil 4 HD,79,84
Vanquish,92,84
Tiger Woods PGA Tour 09,77,84
F1 2010,75,84
Borderlands 2: Mr. Torgue's Campaign of Carnage,83,83
Battlefield 1943,79,83
Darksiders II,82,83
Battlefield 3: Back to Karkand,69,83
N+,83,83
Fallout 3: Point Lookout,82,83
Halo 3: ODST,72,83
DiRT,74,83
Resident Evil 5,75,83
Street Fighter X Tekken,45,83
Call of Duty: Black Ops II,50,83
Persona 4 Arena,32,83
Sine Mora,73,83
Need for Speed: Shift,65,83
Need for Speed: Most Wanted,85,83
Pinball Hall of Fame: The Williams Collection,83,83
NCAA Football 10,67,83
Guardian Heroes,80,83
Dark Souls II: Crown of the Ivory King,86,83
Crackdown,80,83
UFC Undisputed 2009,79,83
Madden NFL 09,70,83
Magic: Duels of the Planeswalkers 2014,52,83
NHL 13,66,83
Fallout: New Vegas - Old World Blues,81,83
The Misadventures of P.B. Winterbottom,75,83
Castlevania: Lords of Shadow,79,83
Darksiders,78,83
Titanfall,60,83
Pac-Man Championship Edition,85,83
Tekken Tag Tournament 2,76,83
2010 FIFA World Cup South Africa,82,83
Ms. 'Splosion Man,68,83
Super Puzzle Fighter II Turbo HD Remix,80,83
Alan Wake,81,83
Dust: An Elysian Tail,80,83
Battlefield: Bad Company,77,83
NCAA Football 09,77,83
Skylanders Swap Force,61,83
Defense Grid: The Awakening,73,82
Tom Clancy's Rainbow Six Vegas 2,78,82
BioShock 2: Minerva's Den,87,82
Dance Central,76,82
Minecraft: Xbox 360 Edition,72,82
NBA 2K10,76,82
You Don't Know Jack,79,82
South Park: The Stick of Truth,85,82
Viva Pinata: Trouble in Paradise,79,82
Shift 2: Unleashed,66,82
Iron Brigade,77,82
Unreal Tournament III,76,82
Sonic CD,85,82
Darkstalkers Resurrection,64,82
The Pinball Arcade,68,82
Marvel: Ultimate Alliance,75,82
NCAA Football 12,65,82
The Darkness,81,82
The Walking Dead: Season Two Episode 3 - In Harm's Way,87,82
Test Drive Unlimited,80,82
Blur,82,82
The Elder Scrolls V: Skyrim - Dragonborn,81,82
Doom,83,82
Mega Man 9,83,82
Hitman: Blood Money,86,82
Brutal Legend,80,82
Castle Crashers,88,82
The Chronicles of Riddick: Assault on Dark Athena,81,82
Marvel vs. Capcom 2,80,82
Prince of Persia Classic,71,82
Fallout 3: Broken Steel,83,82
Call of Duty 3,65,82
Split/Second,81,82
Halo: Combat Evolved Anniversary,82,82
Metal Gear Rising: Revengeance,79,82
Pro Evolution Soccer 2013,69,82
Sonic & All-Stars Racing Transformed,81,82
Command & Conquer 3: Tiberium Wars,72,82
Final Fantasy XIII,60,82
The Wolf Among Us: Episode 1 - Faith,84,82
Sonic the Hedgehog 2,88,82
FIFA Soccer 08,79,82
Enslaved: Odyssey to the West,78,82
Halo Wars,73,82
The Walking Dead: Episode 4 - Around Every Corner,83,82
SSX,64,82
Tom Clancy's Splinter Cell: Blacklist,75,82
College Hoops 2K7,82,82
Joe Danger 2: The Movie,72,82
Catherine,82,82
Condemned: Criminal Origins,82,81
Tony Hawk's Project 8,76,81
Saints Row IV,66,81
Injustice: Gods Among Us,79,81
NBA 2K8,70,81
NHL 14,60,81
Kingdoms of Amalur: Reckoning - The Legend of Dead Kel,78,81
Torchlight,77,81
Renegade Ops,81,81
Saints Row,75,81
LEGO Star Wars II: The Original Trilogy,80,81
Saints Row 2,82,81
NCAA Football 08,78,81
Dishonored: The Brigmore Witches,76,81
Virtua Fighter 5 Final Showdown,79,81
Sensible World of Soccer,74,81
Toy Soldiers: Cold War,86,81
Assassin's Creed,77,81
ilomilo,81,81
Uno,79,81
Super Time Force,58,81
Toy Soldiers,85,81
Crysis,75,81
Just Cause 2,80,81
Rage,67,81
Rockstar Games presents Table Tennis,78,81
Borderlands 2: Captain Scarlett and Her Pirate's Booty,78,81
The Dishwasher: Vampire Smile,82,81
Skulls of the Shogun,81,81
Borderlands: The Zombie Island of Dr. Ned,82,81
Terraria,72,81
Madden NFL 13,58,81
Poker Smash,85,81
College Hoops 2K8,69,81
Monaco: What's Yours Is Mine,73,81
Midnight Club: Los Angeles,85,81
Catan,77,81
Mass Effect 2: Overlord,76,81
NBA 2K6,87,81
Perfect Dark Zero,73,81
WWE SmackDown vs. Raw 2007,79,81
Ninja Gaiden II,80,81
Kinect Party,66,81
Puzzle Quest 2,85,81
Prince of Persia,71,81
Madden NFL 25,56,80
Ace Combat 6: Fires of Liberation,79,80
LEGO Marvel Super Heroes,78,80
Bully: Scholarship Edition,83,80
Rocket Riot,76,80
Assassin's Creed: Revelations,72,80
Madden NFL 07,60,80
WWE SmackDown vs. Raw 2010,83,80
Tiger Woods PGA Tour 10,69,80
Condemned 2: Bloodshot,85,80
Far Cry 3: Blood Dragon,84,80
Driver: San Francisco,76,80
Space Invaders Extreme,80,80
LEGO The Lord of the Rings,84,80
From Dust,76,80
NBA Street Homecourt,79,80
Duke Nukem 3D,81,80
Darwinia+,61,80
The Darkness II,75,80
IL-2 Sturmovik: Birds of Prey,82,80
Tiger Woods PGA Tour 07,79,80
Tekken 6,71,80
Skate 3,81,80
Tomb Raider: Legend,74,80
Peter Jackson's King Kong: The Official Game of the Movie,76,80
Sleeping Dogs,79,80
The Walking Dead: 400 Days,77,80
MotoGP '06,74,80
LEGO Star Wars: The Complete Saga,76,80
Fable III,65,80
Skylanders Giants,67,80
Zero D Beat Drop,tbd,80
Virtua Tennis 3,69,80
Cloning Clyde,80,80
Grand Theft Auto Online,59,80
Double Fine Happy Action Theater,62,80
Tiger Woods PGA Tour 08,78,80
Dragon Age: Origins - Awakening,80,80
Metro: Last Light,84,80
The Walking Dead: Season Two Episode 2 - A House Divided,83,80
Kingdoms of Amalur: Reckoning,78,80
Snoopy Flying Ace,87,80
Magic: The Gathering - Duels of the Planeswalkers 2013,71,80
Space Invaders Infinity Gene,85,80
UEFA EURO 2008,84,80
Alan Wake: The Writer,73,80
Lazy Raiders,88,80
Pro Evolution Soccer 2014,42,80
Dark Souls II: Crown of the Sunken King,81,80
NBA Live 10,77,80
The Walking Dead: Season Two Episode 1 - All That Remains,86,80
Tiger Woods PGA Tour 12: The Masters,60,80
Naruto: The Broken Bond,78,80
FlatOut: Ultimate Carnage,85,80
Hitman: Sniper Challenge,77,80
Hitman: Absolution,72,79
WWE SmackDown vs. Raw 2009,71,79
Resident Evil 5: Lost in Nightmares,77,79
Kameo: Elements of Power,80,79
The King of Fighters XIII,82,79
Sesame Street: Once Upon a Monster,69,79
Gears of War 2: All Fronts Collection,78,79
Banjo-Kazooie: Nuts & Bolts,67,79
The Bigs,84,79
EA Sports MMA,80,79
NHL 07,53,79
The Walking Dead: Episode 1 - A New Day,80,79
Dishonored: The Knife of Dunwall,76,79
Lost Planet: Extreme Condition,71,79
Chime,79,79
Eternal Sonata,79,79
NCAA Football 07,70,79
Mega Man 10,78,79
Sonic's Ultimate Genesis Collection,86,79
SoulCalibur,84,79
Counter-Strike: Global Offensive,70,79
