title                                                                     user_score  critic_score  title
Prince of Persia: Epilogue                                            63  67  
Military Madness: Nectaris                                            63  65  
WRC 2: FIA World Rally Championship 2011                              63  65  
Fracture                                                              63  63  
Divinity II: Ego Draconis                                             63  62  
Cloudy With a Chance of Meatballs                                     63  62  
Hunted: The Demon's Forge                                             63  61  
Crash: Mind Over Mutant                                               63  60  
How to Survive                                                        63  59  
God Mode                                                              63  58  
Dead Island: Riptide                                                  63  57  
The Amazing Spider-Man 2                                              63  55  
Army of Two: The Devil's Cartel                                       63  54  
Dash of Destruction                                                   63  53  
The First Templar                                                     63  52  
History Legends of War: Patton                                        63  51  
Carrier Command: Gaea Mission                                         63  46  
Onechanbara: Bikini Samurai Squad                                     63  39  
FIFA Soccer 13                                                        62  90  
Fez                                                                   62  89  
Double Fine Happy Action Theater                                      62  80  
Far Cry Instincts Predator                                            62  78  
Ace Combat: Assault Horizon                                           62  78  
Tiger Woods PGA Tour 14                                               62  77  
Zumba Fitness Rush                                                    62  73  
Paperboy                                                              62  71  
Virtua Tennis 2009                                                    62  70  
Def Jam: Icon                                                         62  69  
1942: Joint Strike                                                    62  68  
Lost Planet 2                                                         62  68  
MXGP: The Official Motocross Videogame                                62  68  
Bankshot Billiards 2                                                  62  65  
Afro Samurai                                                          62  65  
Mass Effect 3: Omega                                                  62  60  
Assassin's Creed II: Battle of Forli                                  62  58  
Over G Fighters                                                       62  49  
Supremacy MMA                                                         62  49  
Dead Island: Ryder White                                              62  44  
Farming Simulator                                                     62  33  
Star Wars Pinball: Balance of the Force                               61  88  
Madden NFL 10                                                         61  85  
Skylanders Swap Force                                                 61  83  
Darwinia+                                                             61  80  
Anomaly: Warzone Earth                                                61  79  
Forza Horizon: Rally Expansion Pack                                   61  76  
NHL 2K6                                                               61  75  
Guitar Hero: Smash Hits                                               61  71  
Crackdown 2                                                           61  70  
SEGA Rally Online Arcade                                              61  70  
Fallout: New Vegas - Dead Money                                       61  70  
MotoGP 08                                                             61  68  
Need for Speed: The Run                                               61  68  
3D Ultra MiniGolf Adventures                                          61  66  
Nexuiz                                                                61  64  
NBA Live 06                                                           61  64  
The Baconing                                                          61  64  
Surf's Up                                                             61  61  
Risen 2: Dark Waters                                                  61  60  
WarTech: Senko no Ronde                                               61  60  
Front Mission Evolved                                                 61  58  
Blade Kitten                                                          61  58  
Bloody Good Time                                                      61  55  
Hail to the Chimp                                                     61  52  
X-Men: The Official Game                                              61  52  
Saints Row 2: Ultor Exposed                                           61  51  
WALL-E                                                                61  50  
Star Wars The Clone Wars: Republic Heroes                             61  43  
The History Channel: Battle for the Pacific                           61  35  
Titanfall                                                             60  83  
NHL 14                                                                60  81  
Madden NFL 07                                                         60  80  
Tiger Woods PGA Tour 12: The Masters                                  60  80  
Jonah Lomu Rugby Challenge                                            60  73  
GoldenEye 007: Reloaded                                               60  72  
WWE Legends of WrestleMania                                           60  71  
Homefront                                                             60  70  
Mass Effect 2: Arrival                                                60  65  
Fallout 3: Mothership Zeta                                            60  65  
FIFA 06: Road to FIFA World Cup                                       60  62  
BlackSite: Area 51                                                    60  62  
Dynasty Warriors: Strikeforce                                         60  59  
Guilty Gear 2: Overture                                               60  56  
Viva Pinata: Party Animals                                            60  56  
Supreme Commander                                                     60  56  
Bullet Witch                                                          60  55  
Cabela's Dangerous Hunts 2011                                         60  55  
Boogie Bunnies                                                        60  54  
Superman Returns                                                      60  51  
Fable III: Understone Quest Pack                                      60  50  
Pirates vs Ninjas Dodgeball                                           60  44  
Monster Jam                                                           60  43  
Things on Wheels                                                      60  41  
Grand Theft Auto Online                                               59  80  
Pro Evolution Soccer 2011                                             59  79  
Madden NFL 12                                                         59  78  
NCAA Football 14                                                      59  77  
Worms Revolution                                                      59  73  
Major League Baseball 2K8                                             59  70  
F1 Race Stars                                                         59  64  
Need for Speed Undercover                                             59  64  
Zombie Apocalypse: Never Die Alone                                    59  62  
TNA iMPACT!                                                           59  62  
Bionicle Heroes                                                       59  59  
Arkadian Warriors                                                     59  59  
Deadliest Catch: Alaskan Storm                                        59  56  
Le Tour de France 2013 - 100th Edition                                59  51  
Happy Tree Friends: False Alarm                                       59  51  
Narco Terror                                                          59  50  
Cabela's Alaskan Adventures                                           59  48  
Ice Age: Continental Drift - Arctic Games                             59  43  
Lucha Fury                                                            59  37  
Star Raiders                                                          59  35  
Super Time Force                                                      58  81  
Madden NFL 13                                                         58  81  
Eets: Chowdown                                                        58  77  
Dungeons & Dragons: Chronicles of Mystara                             58  77  
MotoGP 13                                                             58  72  
Ancients of Ooga                                                      58  69  
Poker Night 2                                                         58  69  
BioShock Infinite: Clash in the Clouds                                58  68  
Brink                                                                 58  68  
WRC: FIA World Rally Championship                                     58  66  
The Black Eyed Peas Experience                                        58  66  
Big Bumpin'                                                           58  63  
Create                                                                58  60  
Lost Planet 3                                                         58  58  
WRC Powerslide                                                        58  58  
Guitar Hero: Van Halen                                                58  57  
Monopoly                                                              58  56  
Kingdom Under Fire: Circle of Doom                                    58  55  
The Elder Scrolls V: Skyrim - Hearthfire                              58  54  
Cars Race-O-Rama                                                      58  54  
Avatar: The Last Airbender - The Burning Earth                        58  54  
Iron Man                                                              58  45  
Sniper: Ghost Warrior                                                 58  45  
Golden Axe: Beast Rider                                               58  45  
Iron Man 2                                                            58  41  
Madden NFL 11                                                         57  84  
Battlefield 4                                                         57  79  
Call of Duty: Black Ops II - Apocalypse                               57  70  
Assassin's Creed III - The Redemption                                 57  63  
Assassin's Creed Liberation HD                                        57  62  
Jeremy McGrath's Offroad                                              57  60  
Dragon Ball Z: Ultimate Tenkaichi                                     57  55  
Sniper: Ghost Warrior 2                                               57  52  
CSI: Crime Scene Investigation: Deadly Intent                         57  51  
Fairytale Fights                                                      57  51  
Eragon                                                                57  48  
Call of Juarez: The Cartel                                            57  47  
Hellboy: The Science of Evil                                          57  44  
Enemy Front                                                           57  35  
ShellShock 2: Blood Trails                                            57  30  
Madden NFL 25                                                         56  80  
Tiger Woods PGA Tour 13                                               56  77  
Sonic the Hedgehog 4: Episode I                                       56  72  
NCAA Basketball 09                                                    56  70  
MotoGP 09/10                                                          56  69  
Silent Hill HD Collection                                             56  69  
Red Faction: Guerrilla - Demons of the Badlands                       56  66  
Disney Universe                                                       56  66  
Tony Hawk's Pro Skater HD                                             56  66  
Star Trek: Legacy                                                     56  64  
Borderlands: Mad Moxxi's Underdome Riot                               56  63  
Fuse                                                                  56  62  
Dogfight 1942                                                         56  59  
Alone in the Dark                                                     56  58  
Scene It? Bright Lights! Big Screen!                                  56  56  
Sneak King                                                            56  54  
Transformers: The Game                                                56  52  
NeverDead                                                             56  52  
Soldier of Fortune: Payback                                           56  50  
Knights Contract                                                      56  49  
Saints Row: The Third - Genki Bowl VII                                56  49  
Transformers: Rise of the Dark Spark                                  56  44  
Thor: God of Thunder                                                  56  38  
Need for Speed: Most Wanted - A Criterion Game                        55  84  
Skylanders: Spyro's Adventure                                         55  78  
NCAA Football 13                                                      55  76  
Battlefield 3: Close Quarters                                         55  72  
Tony Hawk's Proving Ground                                            55  72  
Serious Sam Double D XXL                                              55  68  
Wreckateer                                                            55  67  
Pirates of the Caribbean: At World's End                              55  58  
Bang Bang Racing                                                      55  58  
Wrecked: Revenge Revisited                                            55  57  
Death By Cube                                                         55  56  
MySims SkyHeroes                                                      55  56  
Carnival Games: Monkey See, Monkey Do!                                55  56  
Yar's Revenge                                                         55  55  
Wing Commander Arena                                                  55  51  
X-Blades                                                              55  50  
Damage Inc.: Pacific Squadron WWII                                    55  49  
Naughty Bear                                                          55  43  
Zumba Fitness: Join the Party                                         55  42  
Dragon's Lair                                                         55  41  
Damnation                                                             55  36  
Need for Speed: Rivals                                                54  76  
Dragon Age II: Mark of the Assassin                                   54  76  
Def Jam Rapstar                                                       54  74  
EA Sports Active 2                                                    54  68  
Alien Breed 2: Assault                                                54  67  
Gauntlet                                                              54  65  
PowerUp Forever                                                       54  62  
Raving Rabbids: Alive & Kicking                                       54  58  
Dragon Age: Origins - Witch Hunt                                      54  56  
Medal of Honor: Warfighter                                            54  53  
Where the Wild Things Are                                             54  51  
Two Worlds                                                            54  50  
CSI: Crime Scene Investigation: Hard Evidence                         54  48  
Deep Black: Episode 1                                                 54  47  
Fantastic Four: Rise of the Silver Surfer                             54  45  
NHL 07                                                                53  79  
NBA Live 08                                                           53  73  
Grand Slam Tennis 2                                                   53  71  
DmC: Devil May Cry - Vergil's Downfall                                53  68  
Marlow Briggs and the Mask of Death                                   53  66  
Capcom Digital Collection                                             53  65  
Major League Baseball 2K9                                             53  64  
Shaun White Skateboarding                                             53  61  
Test Drive: Ferrari Racing Legends                                    53  61  
Space Chimps                                                          53  57  
Realms of Ancient War                                                 53  52  
Yaiba: Ninja Gaiden Z                                                 53  50  
Fuzion Frenzy 2                                                       53  49  
Spartacus Legends                                                     53  45  
Hot Wheels: Beat That!                                                53  43  
Teenage Mutant Ninja Turtles: Out of the Shadows                      53  38  
Magic: Duels of the Planeswalkers 2014                                52  83  
Call of Duty: Black Ops - Escalation                                  52  79  
Madden NFL 06                                                         52  74  
Bakugan Battle Brawlers                                               52  60  
NASCAR 08                                                             52  59  
Monster Madness: Battle for Suburbia                                  52  55  
You're in the Movies                                                  52  55  
Disney Sing It                                                        52  53  
DmC: Devil May Cry                                                    51  86  
Call of Duty: Black Ops II - Revolution                               51  75  
Kinect Rush: A Disney-Pixar Adventure                                 51  68  
Assassin's Creed III - The Betrayal                                   51  67  
All Zombies Must Die!                                                 51  60  
The War of the Worlds                                                 51  55  
Dragon Ball Z: Battle of Z                                            51  53  
Game of Thrones                                                       51  52  
Dead Space 3: Awakened                                                51  50  
Pac-Man and the Ghostly Adventures                                    51  49  
Saw II: Flesh & Blood                                                 51  47  
Samurai Shodown Sen                                                   51  46  
Rock Revolution                                                       51  38  
Call of Duty: Black Ops - Annihilation                                50  78  
Band Hero                                                             50  76  
Call of Duty: Black Ops II - Uprising                                 50  76  
Assassin's Creed III - The Infamy                                     50  73  
After Burner Climax                                                   50  72  
Call of Duty: Black Ops - Rezurrection                                50  70  
Resident Evil 6                                                       50  67  
Backbreaker: Vengeance                                                50  66  
Dragon Age II: Legacy                                                 50  64  
Blood Bowl                                                            50  61  
Dreamcast Collection                                                  50  53  
Kinect Joy Ride                                                       50  52  
X-Men: Destiny                                                        50  47  
Dungeons & Dragons: Daggerdale                                        50  46  
Harry Potter and the Deathly Hallows, Part 2                          50  44  
Brave: A Warrior's Tale                                               50  42  
Family Guy: Back to the Multiverse                                    50  39  
Harry Potter and the Deathly Hallows, Part 1                          50  38  
NBA 2K14                                                              49  87  
Sanctum 2                                                             49  77  
JoJo's Bizarre Adventure HD Ver.                                      49  68  
Arcania: Gothic 4                                                     49  64  
AC/DC Live: Rock Band Track Pack                                      49  63  
Mafia II: Joe's Adventures                                            49  61  
NBA Live 07                                                           49  59  
Resident Evil: Operation Raccoon City                                 49  52  
Conflict: Denied Ops                                                  49  52  
Terminator Salvation                                                  49  48  
Madagascar 3: The Video Game                                          49  45  
Darkest of Days                                                       49  44  
Madden NFL Arcade                                                     48  66  
The King of Fighters XII                                              48  63  
Body and Brain Connection                                             48  57  
Bodycount                                                             48  53  
MX Vs ATV: Supercross                                                 48  48  
Rock of the Dead                                                      48  48  
CSI: Crime Scene Investigation: Fatal Conspiracy                      48  42  
Prison Break: The Conspiracy                                          48  40  
Battle: Los Angeles                                                   48  39  
Pacific Rim                                                           48  39  
Blackwater                                                            48  37  
Infernal: Hell's Vengeance                                            48  35  
Fighters Uncaged                                                      48  32  
Zombie Driver HD                                                      47  64  
Fable: The Journey                                                    47  61  
Beowulf: The Game                                                     47  51  
Risen 3: Titan Lords                                                  47  44  
G.I. Joe: The Rise of Cobra                                           47  42  
Harry Potter for Kinect                                               46  54  
DreamWorks Kung Fu Panda 2                                            46  50  
MLB Front Office Manager                                              46  47  
Street Fighter X Tekken                                               45  83  
Dragon Age II                                                         45  79  
Harry Potter and the Order of the Phoenix                             45  68  
Port Royale 3: Pirates and Merchants                                  45  56  
Dollar Dash                                                           45  49  
Tempest                                                               45  47  
Naval Assault: The Killing Tide                                       45  40  
2014 FIFA World Cup Brazil                                            44  74  
Ninja Gaiden 3                                                        44  58  
Breach                                                                44  57  
007 Legends                                                           44  45  
The Cursed Crusade                                                    44  39  
Rocky and Bullwinkle                                                  44  37  
The Expendables 2 Videogame                                           44  32  
Hasbro Family Game Night: Yahtzee                                     43  78  
DreamWorks Shrek Forever After                                        43  62  
Alien Spidy                                                           43  55  
Megamind: Ultimate Showdown                                           43  33  
NBA Unrivaled                                                         43  25  
FIFA 14                                                               42  84  
Pro Evolution Soccer 2014                                             42  80  
Fatal Inertia                                                         42  61  
NBA Ballers: Chosen One                                               42  55  
Yaris                                                                 42  17  
Major League Baseball 2K6                                             41  66  
NASCAR 2011: The Game                                                 41  62  
DreamWorks Shrek the Third                                            41  56  
Adventure Time: Explore the Dungeon Because I DON'T KNOW!             41  47  
The Golden Compass                                                    41  41  
DARK                                                                  41  38  
Kengo: Legend of the 9                                                41  38  
Call of Duty: Black Ops II - Vengeance                                40  69  
Clash of the Titans                                                   40  42  
MotionSports                                                          40  40  
Fireburst                                                             40  35  
The Walking Dead: Survival Instinct                                   40  32  
Harry Potter and the Half-Blood Prince                                39  64  
Rugby World Cup 2011                                                  39  55  
Aliens: Colonial Marines                                              39  48  
Hole in the Wall                                                      39  47  
AMY                                                                   39  25  
Spyglass Board Games                                                  38  54  
Mass Effect: Pinnacle Station                                         38  48  
Pimp My Ride                                                          38  38  
NCIS                                                                  38  35  
Mass Effect 3: From Ashes                                             37  59  
Rise of the Guardians                                                 37  43  
Quantum Theory                                                        37  37  
Deca Sports Freedom                                                   37  26  
Kinect Star Wars                                                      36  55  
The Sims 3: Pets                                                      35  70  
Angry Birds Trilogy                                                   35  63  
Top Gun: Hard Lock                                                    35  54  
MLB 2K13                                                              35  48  
Michael Phelps: Push the Limit                                        35  48  
Omerta: City of Gangsters                                             35  43  
Raven Squad: Operation Hidden Dagger                                  35  38  
Call of Duty: Modern Warfare 3                                        34  88  
NASCAR The Game: Inside Line                                          34  72  
Yoostar 2: In The Movies                                              34  50  
Screwjumper!                                                          34  40  
Coffeetime Crosswords                                                 34  39  
R.I.P.D. The Game                                                     34  39  
Thrillville: Off the Rails                                            33  73  
Fire Pro Wrestling                                                    33  48  
Way of the Dogg                                                       33  41  
Jumper: Griffin's Story                                               33  29  
Persona 4 Arena                                                       32  83  
Kinectimals                                                           32  74  
Kane & Lynch: Dead Men                                                32  65  
Hour of Victory                                                       32  37  
Kinect: Disneyland Adventures                                         31  73  
Choplifter HD                                                         31  65  
NFL Tour                                                              31  49  
Tony Hawk Ride                                                        30  46  
Interpol: The Trail of Dr. Chaos                                      30  45  
TotemBall                                                             30  44  
Vampire Rain                                                          30  38  
Storm                                                                 29  64  
UEFA Euro 2012                                                        28  70  
Rogue Warrior                                                         28  28  
Call of Duty: Modern Warfare 2 - Stimulus Package                     27  68  
Persona 4 Arena Ultimax                                               26  85  
Star Trek The Video Game                                              26  42  
Steel Battalion: Heavy Armor                                          25  38  
Leisure Suit Larry: Box Office Bust                                   25  25  
Sonic Free Riders                                                     23  47  
Bomberman: Act Zero                                                   23  34  
Rambo: The Video Game                                                 22  28  
Power Gig: Rise of the SixString                                      21  36  
Dragon Ball Z for Kinect                                              20  49  
Battleship                                                            18  38  
Attack of the Movies 3D                                               17  38  
Double Dragon II: Wander of the Dragons                               15  17  
Mindjack                                                              12  43  
Ride to Hell: Retribution                                             12  19  
Fast & Furious: Showdown                                              10  22  
