title                                                                     user_score  critic_score  title
Midway Arcade Origins                                                     74          61            Midway Arcade Origins
Midnight Club: Los Angeles                                                85          81            Midnight Club: Los Angeles
Metal Slug XX                                                             76          61            Metal Slug XX
Metal Slug 3                                                              66          78            Metal Slug 3
Medal of Honor: Airborne                                                  68          73            Medal of Honor: Airborne
Mass Effect 3                                                             59          93            Mass Effect 3
Mass Effect 2                                                             89          96            Mass Effect 2
Mass Effect                                                               87          91            Mass Effect
Mafia II                                                                  79          74            Mafia II
Mad Tracks                                                                78          62            Mad Tracks
MX vs. ATV Reflex                                                         63          75            MX vs. ATV Reflex
Moon Diver                                                                tbd         61            MOON DIVER
Metal Gear Rising: Revengeance                                            79          82            METAL GEAR RISING: REVENGEANCE
Mega Man 9                                                                83          82            MEGA MAN 9
Mega Man 10                                                               78          79            MEGA MAN 10
Luxor 2                                                                   72          70            Luxor 2
Lost Odyssey                                                              84          78            Lost Odyssey
Lode Runner                                                               74          76            Lode Runner
LIMBO                                                                     84          90            Limbo
Left 4 Dead 2                                                             86          89            Left 4 Dead 2
Left 4 Dead                                                               79          89            Left 4 Dead
Lazy Raiders                                                              88          80            Lazy Raiders
Lumines Live!                                                             77          77            LUMINES LIVE!
LEGO Star Wars II: The Original Trilogy                                   80          81            LEGO Star Wars II: The Original Trilogy
LEGO Pirates of the Caribbean: The Video Game                             71          73            LEGO Pirates of the Caribbean: The Video Game
Kingdoms of Amalur: Reckoning                                             78          80            Kingdoms of Amalur: Reckoning
Killer Is Dead                                                            71          64            Killer Is Dead
Kane & Lynch 2: Dog Days                                                  53          63            Kane & Lynch 2: Dog Days
Just Cause 2                                                              80          81            Just Cause 2
Just Cause                                                                72          73            Just Cause
Jurassic Park: The Game                                                   37          60            Jurassic Park: The Game
Joy Ride Turbo                                                            79          67            Joy Ride Turbo
Joust                                                                     73          68            Joust
Joe Danger 2: The Movie                                                   72          82            Joe Danger 2: The Movie
Jewel Quest                                                               tbd         68            Jewel Quest
Jetpac Refuelled                                                          74          73            Jetpac Refuelled
Jet Set Radio                                                             76          70            Jet Set Radio
Iron Brigade                                                              77          82            Iron Brigade
Insanely Twisted Shadow Planet                                            79          76            Insanely Twisted Shadow Planet
Injustice: Gods Among Us                                                  79          81            Injustice: Gods Among Us
Ikaruga                                                                   78          87            Ikaruga
I Am Alive                                                                63          69            I am Alive
Hitman: Blood Money                                                       86          82            Hitman: Blood Money
Hitman: Absolution                                                        72          79            Hitman: Absolution
Hexic HD                                                                  70          79            Hexic HD
Hexic 2                                                                   62          72            Hexic 2
Hardwood Spades                                                           65          62            Hardwood Spades
Hardwood Hearts                                                           74          64            Hardwood Hearts
Hardwood Backgammon                                                       66          62            Hardwood Backgammon
Hard Corps: Uprising                                                      71          75            Hard Corps: Uprising
Halo: Reach                                                               81          91            Halo: Reach
Halo: Combat Evolved Anniversary                                          82          82            Halo: Combat Evolved Anniversary
Halo Wars                                                                 73          82            Halo Wars
Halo 4                                                                    70          87            Halo 4
Halo 3                                                                    79          94            Halo 3
Gyruss                                                                    tbd         56            Gyruss
Gyromancer                                                                65          75            Gyromancer
Guwange                                                                   86          76            Guwange
GripShift                                                                 80          72            Gripshift
GRID 2                                                                    57          78            Grid 2
Golf: Tee It Up!                                                          84          69            Golf: Tee It Up!
Golden Axe                                                                84          68            Golden Axe
Go! Go! Break Steady                                                      74          68            Go! Go! Break Steady
Girl Fight                                                                54          34            Girl Fight
Gin Rummy                                                                 tbd         63            Gin Rummy
Ghostbusters: Sanctum of Slime                                            34          45            Ghostbusters: Sanctum of Slime
Gears of War: Judgment                                                    56          79            Gears of War: Judgment
Gears of War 3                                                            79          91            Gears of War 3
Gears of War 2                                                            77          93            Gears of War 2
Gears of War                                                              83          94            Gears of War
Gatling Gears                                                             78          74            Gatling Gears
Galaga Legions DX                                                         tbd         74            Galaga Legions DX
Galaga Legions                                                            78          74            Galaga Legions
Galaga                                                                    77          66            Galaga
GRID Autosport                                                            61          75            GRID Autosport
FunTown Mahjong                                                           tbd         44            FunTown Mahjong
Frontlines: Fuel of War                                                   77          75            Frontlines: Fuel of War
Frogger 2                                                                 63          37            Frogger 2
Frogger                                                                   53          61            Frogger
Fret Nice                                                                 tbd         54            Fret Nice
Foul Play                                                                 60          69            Foul Play
Forza Horizon                                                             85          85            Forza Horizon
Flashback                                                                 47          50            Flashback
Final Fight: Double Impact                                                76          77            Final Fight: Double Impact
Feeding Frenzy                                                            73          65            Feeding Frenzy
Far Cry 3                                                                 86          91            Far Cry 3
Far Cry 2                                                                 67          85            Far Cry 2
Fallout: New Vegas                                                        83          84            Fallout: New Vegas
Fallout 3                                                                 85          93            Fallout 3
Faery: Legends of Avalon                                                  66          57            Faery: Legends of Avalon
Fable III                                                                 65          80            Fable III
Fable II Pub Games                                                        61          53            Fable II Pub Games
Fable II                                                                  66          89            Fable II
Fable Heroes                                                              47          55            Fable Heroes
Fable Anniversary                                                         68          68            Fable Anniversary
FLOCK!                                                                    48          68            FLOCK!
Final Fantasy XIII-2                                                      63          79            FINAL FANTASY XIII-2
Final Fantasy XIII                                                        60          82            FINAL FANTASY XIII
Fight Night Champion                                                      74          86            FIGHT NIGHT CHAMPION
F1 2014                                                                   40          64            F1 2014
Escape Dead Island                                                        37          32            Escape Dead Island
Encleverment Experiment                                                   58          60            Encleverment Experiment
Earthworm Jim HD                                                          78          73            Earthworm Jim HD
Earth Defense Force 2025                                                  81          68            Earth Defense Force 2025
Earth Defense Force 2017                                                  76          69            Earth Defense Force 2017
Dungeon Siege III                                                         59          72            Dungeon Siege III
Duke Nukem Forever                                                        45          49            Duke Nukem Forever
Dragon Age: Origins                                                       79          86            Dragon Age: Origins
Doom II                                                                   82          77            Doom II
Doom                                                                      83          82            Doom
Domino Master                                                             tbd         49            Domino Master
Disney Epic Mickey 2: The Power of Two                                    55          59            Disney Epic Mickey 2: The Power of Two
Discs of Tron                                                             67          44            Discs of Tron
DiRT Showdown                                                             65          75            DiRT Showdown
DiRT 3                                                                    70          87            DiRT 3
Deadly Premonition                                                        83          68            Deadly Premonition
Deadliest Warrior: Legends                                                56          56            Deadliest Warrior: Legends
Deadfall Adventures                                                       79          43            Deadfall Adventures
Dead Space Ignition                                                       47          35            Dead Space Ignition
Dead Space 3                                                              64          78            Dead Space 3
Dead Space 2                                                              86          90            Dead Space 2
Dead Space                                                                87          89            Dead Space
Dead Rising 2: Case Zero                                                  78          79            Dead Rising 2: Case Zero
Dead Rising 2: Case West                                                  70          74            Dead Rising 2: Case West
Darksiders II                                                             82          83            Darksiders II
Darksiders                                                                78          83            Darksiders
Dark Void                                                                 58          59            Dark Void
Dark Souls                                                                85          89            Dark Souls
Doom 3 BFG Edition                                                        66          67            DOOM 3 BFG Edition
Dig Dug                                                                   66          65            DIG DUG
